"","participant","interface","time"
"1","1","blue","859"
"2","2","blue","594"
"3","3","blue","558"
"4","4","blue","636"
"5","5","blue","907"
"6","6","blue","522"
"7","7","blue","708"
"8","8","blue","631"
"9","9","blue","432"
"10","10","blue","918"
"11","11","blue","971"
"12","12","blue","447"
"13","13","blue","707"
"14","14","blue","646"
"15","15","blue","657"
"16","16","blue","611"
"17","17","blue","1194"
"18","18","blue","702"
"19","19","blue","711"
"20","20","blue","817"
"21","21","blue","907"
"22","22","blue","824"
"23","23","blue","641"
"24","24","blue","601"
"25","25","blue","643"
"26","26","blue","546"
"27","27","blue","821"
"28","28","blue","1078"
"29","29","blue","655"
"30","30","blue","863"
"31","31","blue","597"
"32","32","blue","577"
"33","33","blue","761"
"34","34","blue","599"
"35","35","blue","950"
"36","36","blue","444"
"37","37","blue","1078"
"38","38","blue","818"
"39","39","blue","541"
"40","40","blue","685"
"41","41","blue","748"
"42","42","blue","1289"
"43","43","blue","1179"
"44","44","blue","1104"
"45","45","blue","896"
"46","46","blue","563"
"47","47","blue","1002"
"48","48","blue","1337"
"49","49","blue","559"
"50","50","blue","760"
"51","51","blue","757"
"52","52","blue","560"
"53","53","blue","787"
"54","54","blue","785"
"55","55","blue","627"
"56","56","blue","814"
"57","57","blue","1102"
"58","58","blue","1202"
"59","59","blue","727"
"60","60","blue","985"
"61","61","blue","1436"
"62","62","blue","847"
"63","63","blue","1021"
"64","64","blue","668"
"65","65","blue","661"
"66","66","blue","626"
"67","67","blue","1302"
"68","68","blue","952"
"69","69","blue","536"
"70","70","blue","734"
"71","71","blue","541"
"72","72","blue","697"
"73","73","blue","1295"
"74","74","blue","832"
"75","75","blue","459"
"76","76","blue","628"
"77","77","blue","814"
"78","78","blue","691"
"79","79","blue","556"
"80","80","blue","2055"
"81","81","blue","800"
"82","82","blue","761"
"83","83","blue","571"
"84","84","blue","1287"
"85","85","blue","2137"
"86","86","blue","812"
"87","87","blue","1219"
"88","88","blue","576"
"89","89","blue","888"
"90","90","blue","633"
"91","91","blue","498"
"92","92","blue","1361"
"93","93","blue","655"
"94","94","blue","966"
"95","95","blue","901"
"96","96","blue","918"
"97","97","blue","515"
"98","98","blue","568"
"99","99","blue","673"
"100","100","blue","1029"
"101","101","red","1114"
"102","102","red","813"
"103","103","red","651"
"104","104","red","1453"
"105","105","red","1248"
"106","106","red","487"
"107","107","red","554"
"108","108","red","742"
"109","109","red","550"
"110","110","red","629"
"111","111","red","1113"
"112","112","red","729"
"113","113","red","1387"
"114","114","red","907"
"115","115","red","810"
"116","116","red","732"
"117","117","red","2281"
"118","118","red","1013"
"119","119","red","640"
"120","120","red","718"
"121","121","red","557"
"122","122","red","643"
"123","123","red","894"
"124","124","red","1732"
"125","125","red","590"
"126","126","red","1470"
"127","127","red","776"
"128","128","red","1453"
"129","129","red","1051"
"130","130","red","503"
"131","131","red","442"
"132","132","red","924"
"133","133","red","818"
"134","134","red","2259"
"135","135","red","1459"
"136","136","red","592"
"137","137","red","818"
"138","138","red","1133"
"139","139","red","686"
"140","140","red","684"
"141","141","red","1721"
"142","142","red","1099"
"143","143","red","1098"
"144","144","red","1082"
"145","145","red","752"
"146","146","red","1355"
"147","147","red","938"
"148","148","red","968"
"149","149","red","726"
"150","150","red","1009"
"151","151","red","562"
"152","152","red","735"
"153","153","red","512"
"154","154","red","1169"
"155","155","red","671"
"156","156","red","687"
"157","157","red","762"
"158","158","red","708"
"159","159","red","638"
"160","160","red","746"
"161","161","red","1143"
"162","162","red","717"
"163","163","red","526"
"164","164","red","996"
"165","165","red","877"
"166","166","red","698"
"167","167","red","1114"
"168","168","red","2303"
"169","169","red","1762"
"170","170","red","922"
"171","171","red","654"
"172","172","red","985"
"173","173","red","753"
"174","174","red","1283"
"175","175","red","1299"
"176","176","red","1219"
"177","177","red","831"
"178","178","red","1362"
"179","179","red","1560"
"180","180","red","753"
"181","181","red","573"
"182","182","red","874"
"183","183","red","880"
"184","184","red","1021"
"185","185","red","1216"
"186","186","red","951"
"187","187","red","825"
"188","188","red","576"
"189","189","red","725"
"190","190","red","452"
"191","191","red","532"
"192","192","red","487"
"193","193","red","817"
"194","194","red","991"
"195","195","red","1382"
"196","196","red","1169"
"197","197","red","826"
"198","198","red","696"
"199","199","red","648"
"200","200","red","684"
