"","language","bugs"
"1","C",105
"2","C",56
"3","C",74
"4","C",76
"5","C",100
"6","C",79
"7","C",106
"8","C",91
"9","C",75
"10","C",100
"11","C",70
"12","C",67
"13","C",95
"14","C",87
"15","C",126
"16","C",109
"17","C",92
"18","C",118
"19","C",98
"20","C",108
"21","C",84
"22","C",110
"23","C",82
"24","C",78
"25","C",137
"26","C",112
"27","C",96
"28","C",103
"29","C",117
"30","C",111
"31","Scheme",86
"32","Scheme",73
"33","Scheme",136
"34","Scheme",75
"35","Scheme",112
"36","Scheme",81
"37","Scheme",105
"38","Scheme",98
"39","Scheme",91
"40","Scheme",121
"41","Scheme",111
"42","Scheme",100
"43","Scheme",129
"44","Scheme",111
"45","Scheme",108
"46","Scheme",140
"47","Scheme",118
"48","Scheme",130
"49","Scheme",79
"50","Scheme",98
"51","Scheme",134
"52","Scheme",128
"53","Scheme",87
"54","Scheme",154
"55","Scheme",88
"56","Scheme",98
"57","Scheme",117
"58","Scheme",123
"59","Scheme",45
"60","Scheme",124
"61","C++",140
"62","C++",141
"63","C++",169
"64","C++",195
"65","C++",141
"66","C++",139
"67","C++",140
"68","C++",110
"69","C++",184
"70","C++",184
"71","C++",164
"72","C++",107
"73","C++",153
"74","C++",149
"75","C++",176
"76","C++",154
"77","C++",169
"78","C++",159
"79","C++",192
"80","C++",171
"81","C++",140
"82","C++",165
"83","C++",151
"84","C++",153
"85","C++",174
"86","C++",198
"87","C++",164
"88","C++",166
"89","C++",128
"90","C++",132
