"","age","training","passed"
"1",27,50,0
"2",29,86,1
"3",35,56,1
"4",30,42,0
"5",27,67,1
"6",34,65,1
"7",26,55,0
"8",32,55,1
"9",32,59,0
"10",32,38,0
"11",29,47,0
"12",41,74,1
"13",28,64,0
"14",26,47,0
"15",32,68,1
"16",26,63,1
"17",31,71,1
"18",26,44,0
"19",39,57,0
"20",33,48,0
"21",37,51,0
"22",27,65,0
"23",33,52,0
"24",30,47,0
"25",31,54,0
"26",18,55,0
"27",26,53,1
"28",24,53,1
"29",33,82,1
"30",35,77,1
"31",27,66,1
"32",24,69,1
"33",28,62,1
"34",31,63,1
"35",29,68,1
"36",31,50,0
"37",23,80,1
"38",36,79,1
"39",21,54,0
"40",41,70,1
"41",30,71,1
"42",25,66,0
"43",29,61,1
"44",29,54,0
"45",26,33,0
"46",27,63,0
"47",20,56,0
"48",28,47,0
"49",21,42,0
"50",30,42,0
