"","language","bugs"
"1","C",99
"2","C",95
"3","C",103
"4","C",107
"5","C",86
"6","C",92
"7","C",76
"8","C",118
"9","C",88
"10","C",86
"11","C",131
"12","C",114
"13","C",111
"14","C",82
"15","C",98
"16","C",116
"17","C",88
"18","C",92
"19","C",149
"20","C",102
"21","C",107
"22","C",114
"23","C",114
"24","C",104
"25","C",83
"26","C",98
"27","C",97
"28","C",122
"29","C",72
"30","C",92
"31","Scheme",140
"32","Scheme",90
"33","Scheme",149
"34","Scheme",99
"35","Scheme",95
"36","Scheme",104
"37","Scheme",105
"38","Scheme",80
"39","Scheme",67
"40","Scheme",98
"41","Scheme",106
"42","Scheme",105
"43","Scheme",125
"44","Scheme",112
"45","Scheme",102
"46","Scheme",98
"47","Scheme",94
"48","Scheme",94
"49","Scheme",82
"50","Scheme",90
"51","Scheme",82
"52","Scheme",66
"53","Scheme",123
"54","Scheme",123
"55","Scheme",118
"56","Scheme",133
"57","Scheme",117
"58","Scheme",92
"59","Scheme",122
"60","Scheme",108
"61","C++",129
"62","C++",143
"63","C++",145
"64","C++",155
"65","C++",129
"66","C++",172
"67","C++",132
"68","C++",148
"69","C++",164
"70","C++",160
"71","C++",143
"72","C++",176
"73","C++",136
"74","C++",136
"75","C++",147
"76","C++",163
"77","C++",130
"78","C++",156
"79","C++",100
"80","C++",189
"81","C++",161
"82","C++",143
"83","C++",123
"84","C++",159
"85","C++",148
"86","C++",161
"87","C++",157
"88","C++",142
"89","C++",187
"90","C++",124
