"","age","training","passed"
"1",37,74,1
"2",25,55,0
"3",35,55,0
"4",33,64,1
"5",27,52,0
"6",39,47,0
"7",28,55,0
"8",29,73,1
"9",27,56,1
"10",25,65,1
"11",25,80,1
"12",28,51,0
"13",31,53,0
"14",38,51,0
"15",28,67,1
"16",32,68,1
"17",30,59,1
"18",32,55,0
"19",31,59,0
"20",31,57,0
"21",29,49,0
"22",27,64,1
"23",30,59,0
"24",29,46,0
"25",28,62,1
"26",26,66,1
"27",25,52,0
"28",21,49,0
"29",28,59,0
"30",20,65,1
"31",24,60,0
"32",31,62,1
"33",36,57,1
"34",30,59,0
"35",31,56,1
"36",35,74,1
"37",34,54,0
"38",32,56,0
"39",26,57,0
"40",33,66,1
"41",27,70,1
"42",27,44,0
"43",24,46,0
"44",20,54,0
"45",34,58,0
"46",37,56,0
"47",31,65,1
"48",30,67,1
"49",31,77,1
"50",33,73,1
